description_en,description_zh
"ALMOND CRUNCHY HONEY OATS MULTIGRAIN CEREAL WITH GRANOLA AND ALMONDS, ALMOND CRUNCHY HONEY OATS",杏仁脆蜂蜜燕麦多谷物谷物早餐带格兰诺拉和杏仁，杏仁脆蜂蜜燕麦
"ALMOND CRUNCHY HONEY OATS NATURAL HONEY FLAVORED MULTIGRAIN CEREAL WITH GRANOLA AND ALMONDS, ALMOND CRUNCHY HONEY OATS",杏仁脆蜜麦片
"ALMOND CRUNCHY HONEY OATS, MULTIGRAIN CEREAL WITH GRANOLA AND ALMONDS",杏仁脆蜜燕麦，多谷物麦片含格兰诺拉和杏仁
ALMOND CRUSH CHOCOLATE CREAM COVERED BISCUIT STICKS,杏仁碎巧克力奶油夹心饼干棒
"ALMOND CRUSH CHOCOLATE CREAM COVERED BISCUIT STICKS, ALMOND CRUSH",杏仁碎巧克力奶油裹饼干棒，杏仁碎
ALMOND CRUSTED CHICKEN STRIPS,杏仁裹鸡条
ALMOND CRUSTED FLOUNDER,杏仁裹鳕鱼
"ALMOND CRUSTED FLOUNDER, ALMOND",杏仁裹鳕鱼，杏仁
"ALMOND CRUSTED FLOUNDER, ALMOND CRUSTED",杏仁裹鳕鱼，杏仁裹
ALMOND CRUSTED FLOUNDETR,杏仁酥皮鳕鱼
ALMOND CRUSTED HADDOCK,杏仁裹鳕鱼
ALMOND DARK CHOCOLATE,杏仁黑巧克力
ALMOND DARK CHOCOLATE ALMONDMILK,杏仁黑巧克力杏仁奶
"ALMOND DARK CHOCOLATE BISCOTTI, ALMOND DARK CHOCOLATE",杏仁黑巧克力比斯科蒂，杏仁黑巧克力
"ALMOND DARK CHOCOLATE BUTTER CUPS, ALMOND DARK CHOCOLATE",杏仁黑巧克力黄油杯，杏仁黑巧克力
"ALMOND DARK CHOCOLATE PROBIOTIC NUT BUTTER, ALMOND DARK CHOCOLATE",杏仁黑巧克力益生菌坚果酱，杏仁黑巧克力
"ALMOND DARK CHOCOLATE STYLE BAR, ALMOND DARK",杏仁黑巧克力风味棒，杏仁黑
"ALMOND DARK CHOCOLATE TOASTED PIECES, ALMOND DARK CHOCOLATE",杏仁黑巧克力烤碎块，杏仁黑巧克力
"ALMOND DARK CHOCOLATE, ALMOND",杏仁黑巧克力，杏仁
"ALMOND DATE CURRANT FARMERS MARKET MIX, ALMOND DATE CURRANT",杏仁枣葡萄干农夫市集混合，杏仁枣葡萄干
"ALMOND DATE NUT ROLL COATED IN COCONUT, ALMOND",杏仁椰子裹椰子仁椰枣卷
"ALMOND DATE NUT ROLL COATED IN COCONUT, ALMOND DATE NUT",杏仁椰丝枣仁卷
ALMOND DELIGHT,杏仁 delight
"ALMOND DELIGHT COOKIES, ALMOND DELIGHT",杏仁愉悦饼干，杏仁愉悦
"ALMOND DELIGHT FLAVORED COOKIES, ALMOND DELIGHT",杏仁喜悦风味饼干，杏仁喜悦
"ALMOND DELIGHT PROTEIN PUFFS, ALMOND DELIGHT",杏仁喜乐蛋白脆片，杏仁喜乐
ALMOND DELIGHT TRAIL BITES,杏仁乐适trail bites
"ALMOND DELIGHT TRAIL BITES, ALMOND",杏仁美味trail bites，杏仁
"ALMOND DELIGHT, GLAZED BLUEBERRY LEMON",杏仁之悦，糖霜蓝莓柠檬
"ALMOND DELIGHT, GLAZED CRANBERRY ORANGE",杏仁 delight，糖霜蔓越莓橙
ALMOND DESSERT,杏仁甜点
"ALMOND DRAGONFRUIT ORGANIC PLANT PROTEIN FROM NUTS & SEEDS, ALMOND DRAGONFRUIT",杏仁火龙果有机坚果种子植物蛋白
"ALMOND DRAGONFRUIT ORGANIC SUPERBITES, ALMOND DRAGONFRUIT",杏仁火龙果有机超小点心，杏仁火龙果
"ALMOND DREAM, ALMOND BASED FROZEN DESSERT BITES, CHOCOLATE",杏仁梦巧克力冰冻甜点球
"ALMOND DREAM, ALMOND BASED FROZEN DESSERT BITES, CHOCOLATE, CHOCOLATE",杏仁梦，杏仁基底巧克力冷冻甜点，巧克力，巧克力
"ALMOND DREAM, ALMOND NON-DAIRY YOGURT, MIXED BERRY, MIXED BERRY",杏仁梦，杏仁非乳酸奶，混合莓，混合莓
"ALMOND DREAM, ALMOND-BASED FROZEN DESSERT BITES, PEPPERMINT",杏仁梦，杏仁基冷冻甜点块，薄荷味
"ALMOND DREAM, ALMOND-BASED FROZEN DESSERT BITES, PEPPERMINT, PEPPERMINT",杏仁梦，杏仁基冷冻甜点块，薄荷味，薄荷味
"ALMOND DREAM, LOW FAT NON-DAIRY & LACTOSE FREE YOGURT, COCONUT",杏仁梦，低脂非乳制品无乳糖酸奶，椰子
"ALMOND DREAM, LOW FAT NON-DAIRY & LACTOSE FREE YOGURT, COCONUT, COCONUT",杏仁梦，低脂非乳制无乳糖酸奶，椰子，椰子
"ALMOND DREAM, LOW FAT NON-DAIRY YOGURT, ALMONDS VANILLA",杏仁梦 低脂非乳制酸奶 杏仁香草
"ALMOND DREAM, LOW FAT NON-DAIRY YOGURT, ALMONDS VANILLA, ALMONDS VANILLA",杏仁梦低脂植物酸奶香草
"ALMOND DREAM, LOW FAT NON-DAIRY YOGURT, STRAWBERRY",杏仁梦 低脂非乳制酸奶 草莓
"ALMOND DREAM, LOW FAT NON-DAIRY YOGURT, STRAWBERRY, STRAWBERRY",杏仁梦，低脂非乳制酸奶，草莓，草莓
"ALMOND DREAM, NON-DAIRY ALMOND YOGURT, MIXED BERRY",杏仁梦，植物杏仁酸奶，混合浆果
"ALMOND DREAM, NON-DAIRY ALMOND YOGURT, MIXED BERRY, MIXED BERRY",杏仁梦，植物基杏仁酸奶，混合浆果，混合浆果
"ALMOND DREAM, NON-DAIRY DESSERT, STRAWBERRY",杏仁梦，非乳制甜点，草莓
"ALMOND DREAM, NON-DAIRY DESSERT, STRAWBERRY, STRAWBERRY",杏仁梦，非乳制甜点，草莓，草莓
"ALMOND DREAM, NON-DAIRY FROZEN DESSERT, CHOCOLATE",杏仁梦，非乳制冷冻甜点，巧克力
"ALMOND DREAM, NON-DAIRY FROZEN DESSERT, CHOCOLATE, CHOCOLATE",杏仁梦，非乳制冷冻甜点，巧克力，巧克力
"ALMOND DREAM, NON-DAIRY FROZEN DESSERT, PRALINE CRUNCH",杏仁梦，非乳制冷冻甜点，焦糖脆粒
"ALMOND DREAM, NON-DAIRY FROZEN DESSERT, PRALINE CRUNCH, PRALINE CRUNCH",杏仁梦，非乳制冷冻甜点，焦糖碎，焦糖碎
"ALMOND DREAM, NON-DAIRY FROZEN DESSERT, VANILLA",杏仁梦，非乳制冷冻甜点，香草
"ALMOND DREAM, NON-DAIRY FROZEN DESSERT, VANILLA, VANILLA",杏仁梦，非乳制冷冻甜点，香草，香草
"ALMOND DREAM, NON-DAIRY LOW FAT ALMOND YOGURT, PLAIN",杏仁梦，非乳制低脂杏仁酸奶，原味
"ALMOND DREAM, NON-DAIRY LOW FAT ALMOND YOGURT, PLAIN, PLAIN",杏仁梦，非乳低脂杏仁酸奶，原味，原味
"ALMOND DREAM, NON-DAIRY YOGURT, STRAWBERRY",杏仁梦，非乳制酸奶，草莓
"ALMOND DREAM, NON-DAIRY YOGURT, STRAWBERRY, STRAWBERRY",杏仁梦，非乳制酸奶，草莓，草莓
"ALMOND DREAM, VANILLA UNSWEETENED ALMOND DRINK",杏仁梦，香草未加糖杏仁饮料
"ALMOND DREAM, VANILLA UNSWEETENED ALMOND DRINK, VANILLA",杏仁梦，香草未加糖杏仁饮料，香草
ALMOND DRINK,杏仁饮料
"ALMOND DRINK, ALMOND",杏仁饮料
"ALMOND DRINK, PUMPKIN SPICE WITH CINNAMON",杏仁饮料 南瓜香料肉桂味
"ALMOND ENGLISH TOFFEE, ALMOND",杏仁英式太妃糖
"ALMOND ESPRESSO CHOCOLATE KETO CUPS, ALMOND ESPRESSO",杏仁浓缩咖啡巧克力生酮杯，杏仁浓缩咖啡
ALMOND FIG BAKED OATMEAL,杏仁无花果烤燕麦
"ALMOND FLAVOR PUDDING, ALMOND",杏仁味杏仁布丁
"ALMOND FLAVORED A SWEET PASTRY DOUGH WITH A LIGHT ALMOND FILLING, TOPPED WITH TOASTED ALMONDS BEAR CLAWS, ALMOND",杏仁甜面包
"ALMOND FLAVORED BEAR CLAWS, ALMOND",杏仁风味熊爪，杏仁
"ALMOND FLAVORED BISCOTTI, ALMOND",杏仁风味比斯科蒂，杏仁
"ALMOND FLAVORED MACAROONS, ALMOND",杏仁味马卡龙，杏仁
ALMOND FLOUR,杏仁粉
ALMOND FLOUR ARTISAN BREAD BAKING MIX,杏仁粉手艺人面包烘焙混合物
ALMOND FLOUR BAKING BLEND,杏仁粉烘焙混合物
"ALMOND FLOUR BAKING BLEND, BROWNIE MIX",杏仁粉烘焙混合粉，布朗尼混合粉
ALMOND FLOUR BANANA MUFFIN BAKING MIX,杏仁粉香蕉玛芬烘焙混合粉
"ALMOND FLOUR BANANA MUFFIN BAKING MIX, BANANA",杏仁粉香蕉玛芬烘焙混合粉 香蕉
ALMOND FLOUR BLANCHED,杏仁粉去皮
ALMOND FLOUR BROWNIE BAKING MIX,杏仁粉布朗尼烘焙混合粉
"ALMOND FLOUR BROWNIE MIX, ALMOND",杏仁布朗尼粉
ALMOND FLOUR CHOCOLATE MUFFIN & CAKE BAKING MIX,杏仁粉巧克力玛芬蛋糕烘焙粉
"ALMOND FLOUR CHOCOLATE MUFFIN & CAKE BAKING MIX, CHOCOLATE",杏仁粉巧克力玛芬蛋糕烘焙混合粉，巧克力
ALMOND FLOUR CRACKERS,杏仁粉饼干
"ALMOND FLOUR CRACKERS CRACKED PEPPER, ALMOND FLOUR",杏仁粉饼干 裂纹胡椒 杏仁粉
"ALMOND FLOUR CRACKERS, ALMOND",杏仁杏仁粉饼干
"ALMOND FLOUR CRACKERS, ALMOND FLOUR",杏仁粉饼干，杏仁粉
"ALMOND FLOUR CRACKERS, FARMHOUSE CHEDDAR",杏仁粉饼干 农舍切达芝士
"ALMOND FLOUR CRACKERS, ROSEMARY & SEA SALT",杏仁粉饼干，迷迭香与海盐
"ALMOND FLOUR CRACKERS, SEA SALT",杏仁粉饼干 海盐味
"ALMOND FLOUR FARMHOUSE CHEDDAR CRACKERS, CHEDDAR",杏仁粉法式切达奶酪饼干，切达味
"ALMOND FLOUR FINE GROUND SEA SALT CRACKERS, SEA SALT",杏仁粉细磨海盐饼干 海盐
ALMOND FLOUR FROM BLANCHED WHOLE ALMONDS,杏仁粉
"ALMOND FLOUR GRAIN FREE TORTILLAS, ALMOND FLOUR",杏仁粉无谷物玉米饼，杏仁粉
"ALMOND FLOUR KETO TORTILLAS, ALMOND FLOUR",杏仁粉凯托玉米饼，杏仁粉
ALMOND FLOUR MIX,杏仁粉混合物
ALMOND FLOUR PASTA FETTUCCINE,杏仁粉宽面条
"ALMOND FLOUR PASTA GRAIN FREE LASAGNA SHEETS, ALMOND FLOUR PASTA",杏仁粉意面片 无谷物 拉斯尼加片 杏仁粉意面
"ALMOND FLOUR PASTA, FETTUCCINE",杏仁粉宽面条
"ALMOND FLOUR PASTA, GNOCCHI",杏仁粉意面 热那契
ALMOND FLOUR PUMPKIN MUFFIN & BREAD BAKING MIX,杏仁粉南瓜玛芬与面包烘焙混合粉
"ALMOND FLOUR RAINCOAST CRISPS SALLY DATE CRACKERS, ALMOND FLOUR",杏仁粉雷恩科斯特脆片萨利日期脆饼，杏仁粉
ALMOND FLOUR TORTILLAS,杏仁粉玉米饼
"ALMOND FLOUR TORTILLAS, ALMOND FLOUR",杏仁粉玉米饼，杏仁粉
"ALMOND FLOUR, ALMOND",杏仁粉，杏仁
ALMOND FLUFFBUTTER BROWNIE BATTER,杏仁棉花黄油布朗尼面糊
"ALMOND FLUFFBUTTER BROWNIE BATTER, ALMOND",杏仁棉花黄油布朗尼面糊，杏仁
ALMOND FRANGELICO SALMON,杏仁弗兰杰利科三文鱼
ALMOND FRUIT NUT PROTEIN BAR,杏仁果仁蛋白棒
"ALMOND FRUIT NUT PROTEIN BAR, ALMOND FRUIT NUT",杏仁水果坚果蛋白棒，杏仁水果坚果
ALMOND FUDGE BROWNIE,杏仁太妃布朗尼
"ALMOND FUDGE CHOCOLATE ICE CREAM WITH ALMONDS, ALMOND FUDGE",杏仁太妃巧克力冰淇淋，杏仁太妃
"ALMOND GLAZED CHERRY PIE, ALMOND GLAZED CHERRY",杏仁糖霜樱桃派
"ALMOND GLUTEN FREE BREAD, ALMOND",杏仁无麸质面包
ALMOND GRANOLA,杏仁格兰诺拉
ALMOND GRANOLA BARS,杏仁格兰诺拉棒
"ALMOND GRANOLA BARS, SWEET & SALTY",杏仁格兰诺拉棒 甜咸味
"ALMOND GRANOLA BARS, SWEET & SALTY NUT",杏仁格兰诺拉棒 甜咸坚果
"ALMOND GRANOLA, ALMOND",杏仁格兰诺拉，杏仁
"ALMOND GRANOLA, FRENCH VANILLA",杏仁格兰诺拉，法式香草
"ALMOND GRANOLA, VANILLA",杏仁格兰诺拉，香草味
"ALMOND HANDCRAFTED BRITTLE, ALMOND","杏仁手工脆, 杏仁"
ALMOND HANDMADE BISCUITS,杏仁手工饼干
"ALMOND HONEY NOUGAT TORRONE BAR, ALMOND HONEY NOUGAT",杏仁蜂蜜太妃糖条，杏仁蜂蜜太妃糖
ALMOND HONEY NOUGAT WITH PISTACHIOS TORRONE,杏仁蜂蜜牛轧糖配开心果托罗尼
"ALMOND HONEY NOUGAT WITH PISTACHIOS TORRONE, ALMOND HONEY NOUGAT WITH PISTACHIOS",杏仁蜂蜜牛轧糖配开心果 托罗尼
"ALMOND HONEY OAT GRANOLA FLAVORED PROTEIN CHEWY SNACK BARS, ALMOND HONEY OAT GRANOLA",杏仁蜂蜜燕麦格兰诺拉风味蛋白 chewy 零食棒，杏仁蜂蜜燕麦格兰诺拉
"ALMOND HORN COOKIES, ALMOND",杏仁角饼干，杏仁
ALMOND HORNS COOKIES,杏仁角饼干
ALMOND HORNS GLUTEN FREE,杏仁角无麸质
ALMOND ICE CREAM BAR,杏仁冰淇淋棒
"ALMOND ICE CREAM BAR, VANILLA",杏仁香草冰淇淋棒
ALMOND ITALIAN COOKIE,杏仁意大利曲奇
"ALMOND JOY COFFEE CREAMER, ALMOND JOY",杏仁之乐咖啡奶油，杏仁之乐
"ALMOND JOY CREAMER SINGLES, ALMOND JOY",杏仁之乐奶油单支，杏仁之乐
"ALMOND JOY FLAVORED PREMIUM FROSTING, ALMOND JOY",杏仁之喜风味高级霜饰，杏仁之喜
"ALMOND JOY NON-DAIRY COFFEE CREAMER, ALMOND JOY",杏仁之喜无乳咖啡奶油，杏仁之喜
"ALMOND JOY, PIECES, CANDY IN A CRUNCHY SHELL, MILK CHOCOLATE, COCONUT AND ALMOND, MILK CHOCOLATE, COCONUT AND ALMOND",杏仁之乐，脆壳糖果，牛奶巧克力，椰子杏仁
ALMOND KISS COOKIES,杏仁之吻曲奇
"ALMOND KISS COOKIES, ALMOND KISS",杏仁之吻曲奇，杏仁之吻
ALMOND KRINGLE,杏仁克灵格勒
"ALMOND LAS VEGAS MILK CHOCOLATE BAR, ALMOND",杏仁 拉斯维加斯 牛奶巧克力棒，杏仁
ALMOND LATTE,杏仁拿铁
"ALMOND LIGHT & CRISP PIZZELLE, ALMOND",杏仁轻脆比泽尔，杏仁
ALMOND LOVER'S MEDLEY,杏仁爱好者什锦
"ALMOND LOVER'S MEDLEY MARCONA, NONPAREIL, FRITZ, BUTTE-PADRES LIGHTLY DRY ROASTED UNSALTED ALMONDS, ALMOND LOVER'S MEDLEY",杏仁爱好者拼盘 马尔孔纳 非pareil 弗里茨 巴德帕德雷斯 微干烤无盐杏仁 杏仁爱好者拼盘
"ALMOND MACADAMIA CAFFEINATED NUT BUTTER, ALMOND MACADAMIA",杏仁夏威夷果咖啡因坚果酱
"ALMOND MACADAMIA NUT, ALMOND",杏仁糊杏仁
ALMOND MACAROONS,杏仁马卡龙
ALMOND MACAROONS WITH CHOCOLATEY DRIZZLE,杏仁巧克力淋酱马卡龙
"ALMOND MACAROONS, ALMOND",杏仁蛋白甜饼，杏仁
"ALMOND MADE WITH ALMONDS AND WITH A YOGURT FLAVORED COATING SWEET & SALTY CHEWY GRANOLA BARS, ALMOND",杏仁与酸奶风味涂层甜咸咀嚼燕麦棒，杏仁
ALMOND MANDEL TOAST,杏仁吐司
"ALMOND MANDEL TOAST, ALMOND",杏仁吐司，杏仁
ALMOND MAPLE COFFEE,杏仁枫糖咖啡
"ALMOND MAPLE POWDER, ALMOND MAPLE",杏仁枫糖粉
ALMOND MEAL FLOUR,杏仁粉
ALMOND MELTAWAYS,杏仁融化饼干
"ALMOND MERINGUES BAKERY, ALMOND",杏仁马芬饼屋，杏仁
ALMOND MILK,杏仁奶
ALMOND MILK & CASHEWMILK,杏仁奶 & 开心果奶
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK",杏仁奶与椰子非乳制打发配料，杏仁奶
ALMOND MILK & PLANT PROTEIN BEVERAGE,杏仁奶植物蛋白饮料
"ALMOND MILK & PLANT PROTEIN BEVERAGE, CHOCOLATE",杏仁奶植物蛋白饮料 巧克力
"ALMOND MILK CAFFE MOCHA FLAVORED CHILLED ICED ESPRESSO BEVERAGE, ALMOND MILK CAFFE MOCHA",杏仁牛奶咖啡摩卡冰presso饮料
ALMOND MILK CHOCOLATE,杏仁牛奶巧克力
"ALMOND MILK CHOCOLATE CANDIES BAR WITH MINIS & ALMONDS, ALMOND",杏仁牛奶巧克力糖果条带迷你杏仁，杏仁
"ALMOND MILK CHOCOLATE PROMISES, ALMOND MILK CHOCOLATE",杏仁牛奶巧克力
"ALMOND MILK CHOCOLATE, ALMOND",杏仁牛奶巧克力，杏仁
ALMOND MILK COFFEE,杏仁牛奶咖啡
ALMOND MILK CREAMER,杏仁牛奶奶油
"ALMOND MILK CREAMER WITH COCONUT PUMPKIN SPICE, COCONUT PUMPKIN SPICE",杏仁牛奶椰香南瓜香料奶油
"ALMOND MILK CREAMER WITH COCONUT, UNSWEETENED",杏仁椰奶淡奶油
"ALMOND MILK CREAMER, ALMOND",杏仁牛奶奶油，杏仁
"ALMOND MILK CREAMER, CARAMEL",杏仁奶奶油，焦糖味
"ALMOND MILK CREAMER, MAPLE",杏仁牛奶奶油，枫糖
"ALMOND MILK CREAMER, SWEET CREME",杏仁奶奶油，甜奶油
"ALMOND MILK CREAMER, VANILLA",杏仁牛奶奶油，香草
"ALMOND MILK DAIRY FREE GELATO NON-DAIRY FROZEN DESSERT SANDWICH BARS, ALMOND MILK",杏仁奶无乳制品冰淇淋非乳制品冷冻甜点三明治条，杏仁奶
ALMOND MILK DESSERT,杏仁奶甜点
ALMOND MILK DRINKABLE YOGURT,杏仁奶可饮用酸奶
ALMOND MILK DRINKABLE YOGURT PROBIOTIC,杏仁牛奶可饮用益生菌酸奶
"ALMOND MILK DRINKABLE YOGURT PROBIOTIC, MANGO",杏仁牛奶可饮用益生菌酸奶，芒果
"ALMOND MILK DRINKABLE YOGURT, VANILLA",杏仁牛奶可饮用酸奶，香草
ALMOND MILK FROZEN DESSERT,杏仁冰淇淋
"ALMOND MILK GARDEN VEGGIE CREAM CHEESE ALTERNATIVE, CREAM CHEESE",杏仁奶花园蔬菜奶油奶酪替代品，奶油奶酪
ALMOND MILK MOUSSE,杏仁奶慕斯
"ALMOND MILK MOUSSE, DARK CHOCOLATE",杏仁奶慕斯 黑巧克力
"ALMOND MILK MOUSSE, LEMON",杏仁奶慕斯 柠檬
ALMOND MILK NON-DAIRY FROZEN DESSERT MOCHA ALMOND FUDGE,杏仁奶无乳制品冷冻甜点摩卡杏仁软糖
"ALMOND MILK ORGANIC 37% CACAO CHOCOLATE, ALMOND MILK",杏仁奶有机三七度可可巧克力，杏仁奶
ALMOND MILK PROTEIN + FIBER,杏仁奶蛋白质纤维
ALMOND MILK PUDDING,杏仁奶布丁
ALMOND MILK SEA SALT MACA PROBIOTICS,杏仁奶海盐玛卡益生菌
"ALMOND MILK SEA SALT MACA PROBIOTICS, VANILLA ESSENTIALS",杏仁奶海盐玛卡益生菌香草精华
"ALMOND MILK VANILLA CHILLED COFFEE DRINK, ALMOND MILK, VANILLA",杏仁牛奶香草冰咖啡饮料，杏仁牛奶，香草
"ALMOND MILK, CHOCOLATE",杏仁巧克力奶
"ALMOND MILK, COLD BREW COFFEE",杏仁奶，冷萃咖啡
"ALMOND MILK, MCT OIL, MACA, PREBIOTICS VANILLA ESSENTIALS DRINK",杏仁奶，MCT油，玛卡，益生元香草精华饮料
"ALMOND MILK, MCT OIL, MACA, PREBIOTICS VANILLA ESSENTIALS DRINK, VANILLA",杏仁奶 MCT油 麦卡 预生物 香草精髓饮料 香草
"ALMOND MILK, MINT ALMOND COOKIE",杏仁奶，薄荷杏仁饼干
"ALMOND MILK, ORIGINAL",杏仁奶，原味
"ALMOND MILK, RAW CHOCOLATE",杏仁奶，生巧克力
"ALMOND MILK, UNSWEETENED VANILLA",杏仁奶，香草味
"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE",杏仁奶，无糖，原味，常温稳定
"ALMOND MILK, VANILLA",杏仁牛奶香草
ALMOND MINI BISCOTTI,杏仁迷你比斯科蒂
"ALMOND MINI BISCOTTI, ALMOND",杏仁迷你双烤饼干，杏仁
"ALMOND MIX BAR, MANGO TANGO",杏仁混合棒 芒果味
"ALMOND MIX, BERRY MACAROON",杏仁混合，草莓玛卡龙
"ALMOND MOCHA CAFFEINATED KETO BAR, ALMOND MOCHA",杏仁摩卡咖啡因生酮棒，杏仁摩卡
"ALMOND MOCHA FUDGE FLAVOR MOCHA ICE CREAM WITH ROASTED ALMONDS & A FUDGE SWIRL PREMIUM ICE CREAM, ALMOND MOCHA FUDGE",杏仁摩卡巧克力风味摩卡冰淇淋配烤杏仁和巧克力漩涡高级冰淇淋，杏仁摩卡巧克力
"ALMOND MOCHA OVERNIGHT OATS CHILLED CEREAL, ALMOND MOCHA","杏仁摩卡隔夜燕麦冷 cereal, 杏仁摩卡"
ALMOND MUFFINS,杏仁松饼
ALMOND NOG,杏仁蛋奶酒
"ALMOND NOG FLAVORED NON-DAIRY BEVERAGE, ALMOND NOG",杏仁诺格风味非乳制饮料，杏仁诺格
"ALMOND NOG HOLIDAY ALMOND MILK NON-DAIRY BEVERAGE, ALMOND NOG",杏仁 nog 假日杏仁奶 非乳制饮料 杏仁 nog
"ALMOND NOG NON-DAIRY BEVERAGE, ALMOND NOG",杏仁诺格植物饮料，杏仁诺格
ALMOND NON-DAIRY BEVERAGE,杏仁植物饮料
"ALMOND NON-DAIRY BEVERAGE, ORIGINAL",杏仁植物饮料，原味
"ALMOND NON-DAIRY BEVERAGE, UNSWEETENED VANILLA",杏仁无乳饮料 无糖香草
ALMOND NON-DAIRY YOGURT,杏仁非乳制酸奶
"ALMOND NON-DAIRY YOGURT, MIXED BERRY",杏仁植物酸奶，混合莓味
"ALMOND NON-DAIRY YOGURT, PLAIN",杏仁无乳酸奶，原味
ALMOND NOUGAT,杏仁牛轧糖
"ALMOND NOUGAT, CRANBERRY",杏仁牛轧糖蔓越莓
"ALMOND NUGGETS IN DARK CHOCOLATE, ALMOND NUGGETS",杏仁小块在黑巧克力中，杏仁小块
"ALMOND NUT BUTTER SORBET, COFFEE, CARAMEL, ESPRESSO BARK",杏仁坚果黄油雪葩 咖啡 焦糖 浓缩咖啡树皮
"ALMOND NUT CLUSTERS SNACK BITES, ALMOND NUT CLUSTERS",杏仁坚果团零食块，杏仁坚果团
ALMOND NUT GRANOLA BARS,杏仁坚果格兰诺拉棒
"ALMOND NUT GRANOLA BARS, SWEET & SALTY",杏仁坚果格兰诺拉棒 甜咸味
ALMOND NUT TOPPING,杏仁坚果装饰
ALMOND OIL,杏仁油
"ALMOND OIL & EXTRA VIRGIN OLIVE OIL BAKING BLEND, ALMOND",杏仁油与特级初榨橄榄油烘焙混合油，杏仁
ALMOND ORCHARD DELIGHT TRAIL MIX,杏仁果园美味混合零食
"ALMOND ORCHARD DELIGHT TRAIL MIX, ALMOND ORCHARD DELIGHT",杏仁果园之乐混合坚果，杏仁果园之乐
"ALMOND ORGANIC PLANT PROTEIN FROM NUTS & SEEDS SUPER BITES, ALMOND",杏仁有机坚果种子植物蛋白超级小 Bite，杏仁
"ALMOND ORGANIC PLANT PROTEIN FROM NUTS & SEEDS, ALMOND",杏仁有机坚果与种子植物蛋白
"ALMOND ORGANIC PLANT PROTEIN POWDER, ALMOND",杏仁有机植物蛋白粉，杏仁
"ALMOND ORGANIC SUPER BITES, ALMOND",杏仁有机超级小粒，杏仁
"ALMOND ORGANIC SWEET & SALTY CHEWY GRANOLA BARS, ALMOND",杏仁有机甜咸软嚼能量棒
"ALMOND ORIGINAL FLOUR TORTILLA WRAPS, ALMOND",杏仁原味面粉玉米饼卷，杏仁
ALMOND PASTE,杏仁酱
"ALMOND PASTE, ALMOND",杏仁酱，杏仁
"ALMOND PECAN & FRUIT TRAIL MIX, ALMOND PECAN & FRUIT",杏仁山核桃水果能量棒，杏仁山核桃水果
ALMOND PECAN CRUNCH,杏仁山核桃脆
"ALMOND PECAN CRUNCH LIGHTLY SWEETENED NUT CLUSTERS WITH ALMONDS, PECANS & CASHEWS, ALMOND PECAN CRUNCH",杏仁山核桃脆 lightly sweetened 杏仁山核桃脆
"ALMOND PECAN CRUNCH LIGHTLY SWEETENED NUT CLUSTERS WITH ALMONDS, PECANS AND CASHEWS, ALMOND PECAN CRUNCH",杏仁山核桃脆轻甜坚果簇，杏仁山核桃脆
"ALMOND PECAN CRUNCH, ALMOND",杏仁碧根果脆，杏仁
"ALMOND PIECES DARK CHOCOLATE, ALMOND PIECES",杏仁块黑巧克力，杏仁块
"ALMOND PIGNOLI COOKIE, ALMOND PIGNOLI",杏仁皮诺利饼干，杏仁皮诺利
ALMOND PISTACHIO BISCOTTI THINS,杏仁开心果比斯科蒂饼皮
"ALMOND PISTACHIO BISCOTTI, ALMOND PISTACHIO",杏仁开心果比斯科蒂，杏仁开心果
ALMOND PIZZELLE,杏仁皮泽尔
"ALMOND PIZZELLE, ALMOND",杏仁皮泽尔，杏仁
"ALMOND PLANT BASED WHIPPED DREAMS, ALMOND",杏仁植物基打发梦想，杏仁
"ALMOND POPPY MUFFINS, ALMOND POPPY",杏仁罂粟籽玛芬
"ALMOND POPPY SEED FLAVORED MUFFINS, ALMOND POPPY SEED",杏仁罂粟籽风味玛芬，杏仁罂粟籽
ALMOND POPPY SEED MUFFIN MIX,杏仁罂粟籽玛芬混合粉
"ALMOND POPPY SEED MUFFIN MIX, ALMOND POPPY SEED",杏仁罂粟籽玛芬粉，杏仁罂粟籽
"ALMOND POPPY SEED MUFFINS, ALMOND POPPY SEED",杏仁罂粟籽玛芬，杏仁罂粟籽
"ALMOND POPPY SEED POWER CAKES FLAPJACK & WAFFLE MIX, ALMOND POPPY SEED",杏仁罂粟籽蛋糕松饼和华夫饼混合粉，杏仁罂粟籽
"ALMOND POPPY SEED POWER CUP MUFFIN, ALMOND POPPY SEED",杏仁罂粟籽能量杯玛芬，杏仁罂粟籽
ALMOND POPPY SEED PROTEIN-PACKED FLAPJACK & WAFFLE MIX,杏仁罂粟籽高蛋白薄烤饼与华夫饼混合粉
ALMOND POPPY SEED UNLEASHED MUFFIN,杏仁罂粟籽释放玛芬
"ALMOND POPPY SEED UNLEASHED MUFFIN, ALMOND POPPY SEED",杏仁罂粟籽释放玛芬，杏仁罂粟籽
ALMOND POPPYSEED MUFFINS,杏仁罂粟籽玛芬
ALMOND POPS WITH MANGO,芒果杏仁脆片
"ALMOND POPS WITH MANGO, MANGO",芒果杏仁脆片，芒果
"ALMOND POWDERED BUTTER, ALMOND",杏仁粉末黄油，杏仁
